text,category
"trained a gradient boosting classifier on customer churn data. communicated progress in daily stand ups. worked in an agile team with two week sprints. documented work for future maintainers. imaged and deployed laptops for new starters. experienced with linux, excel, windows. administered user accounts and group permissions. resolved hardware and software tickets within SLA.",IT Support
"worked in an agile team with two week sprints. implemented least privilege access across environments. experienced with excel, google analytics. briefed designers on campaign creative. collaborated with cross functional stakeholders. took part in retrospectives and planning.",Marketing
"worked in an agile team with two week sprints. balanced competing priorities under deadline. experienced with excel, linux. walked non technical staff through remote troubleshooting. communicated progress in daily stand ups. documented work for future maintainers. administered user accounts and group permissions.",IT Support
"experienced with hubspot, google analytics, sql. documented common fixes in the internal knowledge base. improved organic search ranking through on page SEO. communicated progress in daily stand ups. balanced competing priorities under deadline.",Marketing
"administered user accounts and group permissions. communicated progress in daily stand ups. imaged and deployed laptops for new starters. resolved hardware and software tickets within SLA. documented work for future maintainers. experienced with excel, active directory.",IT Support
"collaborated with cross functional stakeholders. wrote python scripts to automate repetitive work. managed the asset inventory and licence renewals. administered user accounts and group permissions. documented common fixes in the internal knowledge base. experienced with excel, linux, active directory. tuned hyperparameters with cross validation.",IT Support
"imaged and deployed laptops for new starters. escalated network faults to the infrastructure team. took part in retrospectives and planning. communicated progress in daily stand ups. experienced with linux, excel, active directory. used git for version control. worked in an agile team with two week sprints.",IT Support
"experienced with sql, google analytics. worked in an agile team with two week sprints. ran customer interviews to refine positioning. reported campaign performance against acquisition targets. used git for version control.",Marketing
"ran A/B tests and reported statistical significance. wrote python scripts to automate repetitive work. balanced competing priorities under deadline. experienced with jupyter, python, sql. used git for version control.",Data Science
"experienced with sql, typescript, docker. wrote python scripts to automate repetitive work. cleaned and imputed missing values across large datasets. designed and shipped REST APIs consumed by mobile clients. documented work for future maintainers. worked in an agile team with two week sprints. collaborated with cross functional stakeholders.",Software Engineering
"experienced with docker, typescript, sql. balanced competing priorities under deadline. documented work for future maintainers. took part in retrospectives and planning. refactored a legacy monolith into separate services.",Software Engineering
